username,password,accounttpye,firstname,middlename,lastname,contactno,address,email,dateadded
"panginoondthirty","1234","admin","Drew",NULL,"Thirty",NULL,NULL,NULL,NULL
"llalima","llalima","admin","Lei",NULL,"Lalima",NULL,NULL,NULL,NULL
"rdorgon","rdorgon","admin","Rick",NULL,"Dorgon",NULL,NULL,NULL,NULL
"tmilliones","tmilliones","admin","Tony",NULL,"Milliones",NULL,NULL,NULL,NULL
"Gareth","6454","normal_user","Carter","I.","Dillon",0165127018,"P.O.Box214,8743Lectus.Street","aliquet.lobortis.nisi@Cumsociisnatoque.com","05/24/2017"
"Donovan","5666","normal_user","Kasimir","T.","Oconnor",0210723123,"P.O.Box718,7509Ante.Av.","libero.dui.nec@tristiqueaceleifend.com","03/21/2016"
"Gannon","9069","normal_user","Tamara","N.","Chaney",0329687365,"323Erat.Street","Nulla@loremlorem.co.uk","08/26/2016"
"Hamilton","1507","normal_user","Quentin","Q.","Fitzpatrick",0297966204,"564-4040EgetAve","suscipit@vulputate.net","12/28/2016"
"Acton","8799","normal_user","George","K.","Jarvis",0230846912,"Ap#354-5230SedAv.","dolor.Nulla.semper@faucibusut.ca","03/26/2016"
"Ivory","2458","normal_user","Tatiana","B.","David",0167123253,"Ap#334-8024UltricesSt.","Etiam@estmollisnon.ca","11/12/2016"
"Zenia","8897","normal_user","Wade","A.","Hughes",0728529761,"Ap#629-7610MaurisRd.","fringilla.Donec.feugiat@cubiliaCurae.com","05/02/2017"
"Whilemina","1165","normal_user","Haley","Q.","Gray",0720322380,"P.O.Box427,7273AliquamAvenue","leo.Cras@quisturpis.net","01/05/2016"
"Macaulay","3015","normal_user","Emmanuel","F.","Witt",0436572677,"Ap#107-8383Lectus.Road","eros.turpis@vulputate.ca","06/14/2017"
"Lacota","1544","normal_user","Leo","I.","Coffey",0347874163,"Ap#379-8230Erat.Road","facilisis.non@sodalesnisi.ca","02/15/2017"
"Lacy","1196","normal_user","Carol","N.","Massey",0251575320,"P.O.Box942,6373DiamAve","Fusce.aliquam@etrutrumeu.ca","07/26/2017"
"Alana","9394","normal_user","Flynn","X.","Ramsey",0679082926,"Ap#431-1235DictumSt.","Pellentesque.habitant.morbi@fringillaporttitorvulputate.org","06/23/2016"
"Amethyst","8725","normal_user","Melodie","Z.","Wood",0550246607,"P.O.Box713,2215DictumRd.","ipsum.Suspendisse.non@arcuvel.ca","12/31/2016"
"Selma","3981","normal_user","Ryan","F.","Schwartz",0669186317,"P.O.Box691,9689Ut,Rd.","non.justo.Proin@nibh.co.uk","06/04/2016"
"Elizabeth","3447","normal_user","Channing","Y.","Gallegos",0307374854,"P.O.Box733,7251Congue,Street","Proin@arcueuodio.org","10/29/2015"
"Inez","5078","normal_user","Zephr","N.","Barton",0208809552,"445-8884EgetStreet","imperdiet@nonhendrerit.ca","01/21/2016"
"Keaton","9332","normal_user","Maxine","E.","Kemp",0113389971,"Ap#138-5255DonecRoad","penatibus.et.magnis@ornarefacilisiseget.ca","01/06/2016"
"Alma","1987","normal_user","John","H.","Case",0618688762,"8786VariusAv.","purus@orciquislectus.co.uk","01/11/2017"
"Edward","9362","normal_user","Rebecca","A.","Colon",0399094892,"8789Purus,Ave","dolor.Quisque.tincidunt@eueratsemper.net","02/25/2017"
"Pandora","4283","normal_user","Armand","B.","Peterson",0117576606,"500-3419Enim.St.","justo@Nuncpulvinararcu.co.uk","10/07/2016"
